Które zdoświadczeń doprowadziła do odkrycia jądra atomowego?,doświadczenie Roentgena,doświadczenie Bohra,doświadczenie Thomson'a,doświadczenie Rutherforda,FALSE,FALSE,FALSE,TRUE,1 od Piotrka,https://sokoloowski.pl/agh/fizyka/wyklady.pdf#page=3,
"Który z poniższych wzorów opisuje energię potencialną (E) pola elektrycznego w odległości r od ładunku punktowego Q (symbol użyty do określenia zarówno ładunku ujemnego jak i dodatniego), jeśli q oznacza ładunek próbny?",Ep=kQ/r,Ep=-kQq/r,Ep=kQ/r,Ep=kQq/r,FALSE,FALSE,FALSE,TRUE,2 od Piotrka,https://sokoloowski.pl/agh/fizyka/wyklady.pdf#page=119,
"Natężenie jednorodnego pola elektrycznego, wytworzonego przez dwie równoległe płaszczyzny, naładowane różnoimiennym ładunkiem, przy stałej wartości potencjału elektrycznego:",maleje linowo wraz ze wzrostem odlegiości miedzy płytami,wzrasta kwadratowo wraz ze wzrostem odległości między płytami,pozostaje stale przy zmianie odległości miedzy płytami,wzrasta liniowo wraz ze wzrostem odległości między płytami,FALSE,FALSE,TRUE,FALSE,3 od Piotrka,,"E=σ∕ε0 , gdzie σ oznacza gęstość powierzchniową ładunku na okładce (a więc σ to ładunek Q podzielony przez powierzchnię S okładki).       https://openstax.org/books/fizyka-dla-szkół-wyższych-tom-2/pages/8-1-kondensatory-i-pojemnosc-elektryczna "
które ze stwierdzeń dotyczących wartości indukci magnetycznej pola wewnatrz solenoidu nie jest prawdziwe,nie zależy od długości solendidu,wzrasta wraz ze wzrostem średnicy solenoidu,maleje wraz ze wzrostem srednicy solenoidu,"zależy od liczby zwojów, przypadających na jednostkę długości soiencidu",FALSE,TRUE,TRUE,FALSE,4 od Piotrka,https://sokoloowski.pl/agh/fizyka/wyklady.pdf#page=227,
które z poniższych stwierdzeń nie stanowi elementu teorii Einsteina dot. zjawiska fotoelektrycznego?,Proces pochianiania światła przez materię polega na całkowitym przekazaniu energii przez fotony cząstkom materii. Wszystkie fotony promieniowania monochromatycznego o częstotliwości v mają tę samą energię równą hv,Światło jest pochłaniane przez materię i rozchodzi się w przestrzeni w postaci oddzielnych porcji energi,Światło jest pochłaniane przez materie i rozchodzi się w przestrzeni w postaci oddzielnych porqi energi,"Źródła emitują śwatio w sposób nieciągły ale w przestrzeni rozchodzi się ono jako fala elektromagnetyczna, niosąca energie w postaci fotonow",FALSE,FALSE,FALSE,TRUE,5 od Piotrka,https://sokoloowski.pl/agh/fizyka/wyklady.pdf#page=75,
"Dla każdego elementu przekroju przewodnika wartość pewnej wielkości fizycznej jest równa natężeniu prądu przepływającego przez ten element, przypadającego na jednostke pola jego powierzchni. Wielkością tą jest",Rezystywność,konduktacja,gęstość prądu,rezystancja,FALSE,FALSE,TRUE,FALSE,6 od Piotrka,,
Wskaż zdanie nieprawdziwe w odniesieniu do efektu Comptona,"w wyniku rozproszenia, długość fali fotonu maleje a jego częstotliwość nie ulega zmianie",foton przekazuje w całości swoją energie elektronow,potwierdza korpuskularną nature promieniowania elektromagnetycznego,dotyczy rozpraszania fal elektromagnetycznych na swobodnych elektronach,TRUE,TRUE,FALSE,FALSE,7 od Piotrka,https://sokoloowski.pl/agh/fizyka/wyklady.pdf#page=81,Komentarz do C - doświadczenie potwierdziło korpuskularną naturę światła
"Cztery kondensatory o pojemności 10 F każdy połączono szeregowo, Pojemność zastępcza takiego połączenia wyniesie:",40F,5/2 F,2/5 F,1/40 F,FALSE,TRUE,FALSE,FALSE,8 od Piotrka,https://sokoloowski.pl/agh/fizyka/wyklady.pdf#page=141,
"Indukcja magnetyczna w odległości R od prostoliniowego przewodnika, w którym płynie prad o natężeniu wynosi",u0*l*R/2*pi*r^2 gdy R < od promienia przewodnika (r),u0*l*r/2*pi*R^2 gdy R < od promienia przewodnika (r),u0*l/2*pi*R gdy R > od promienia przewodnika,u0*l/4*pi*R^2 gdy R < od promienia przewodnika (r),FALSE,FALSE,TRUE,FALSE,9 od Piotrka,https://sokoloowski.pl/agh/fizyka/wyklady.pdf#page=224,
W rozpadzie β+ z jądra izotopu X o liczbie atomowej Z i liczbie masowej A powstaje izotop:,tego samego pierwiastka ale o Z-1 liczbie neutronów,"innego pierwiastka, o liczbie nukleonów = A",inego pierwiastka o Z+1 liczbie protonów,innego pierwiastka o Z-1 liczbie protonów,FALSE,TRUE,FALSE,TRUE,,,https://pl.wikipedia.org/wiki/Rozpad_beta_plus
