"W jednorodnym polu elektrycznym, przy stałej wartości potencjału elektrycznego natężenie tego pola:","Również pozostaje stałe","Wzrasta wraz z odległością","Maleje wraz z odległością","Żadna z odpowiedzi nie jest poprawna"
"Rezystywność","Nie zależy ani od przekroju przewodnika ani od jego długości","Wzrasta wraz z długością przewodnika","Wzrasta wraz z powierzchnią przewodnika","Maleje wraz z długością przewodnika"
"Strumień pola magnetycznego jest","Żadna z odpowiedzi nie jest prawidłowa","Wielkością wektorową wyrażoną w [Hr]","Wielkością wektorową wyrażoną w [Wb]","Wielkością skalarną wyrażoną w [Hr]"
"Siła elektromotoryczna to:","Żadna z powyższych odpowiedzi nie jest prawidłowa","Siła oddziałujące między dwoma ładunkami elektrycznymi, bedącymi w ruchu","Siła działająca na przewodnik z prądem w polu magnetycznym","Siła działająca na ładunki punktowe umieszczone w polu magnetycznym"
"Które ze stwierdzeń nie jest słuszne dla paramagnetyków?","Jeżeli pole jest niejednorodne, materiał paramagnetyczny jest wypychany z obszaru silniejszego pola magnetycznego","W nieobecności zewnętrznego pola magnetycznego paramagnetyk nie jest namagnesowany","W zewnętrznym polu magnetycznym paramagnetyk magnesuje się zgodnie z tym polem","W zewnętrznym polu magnetycznym paramagnetyki ustawiają się wzdłuż lini pola magnetycznego"
"Które z podanych niżej jest równaniem soczewki","1/f = 1/x + 1/y","Z = 1/f;","f = (nwzg − 1)( 1/R1 + 1/R2 )","p = H/h"
"Które z poniższych zdań dotyczących interferencji fal świetlnych nie jest prawdziwe","Warunkiem dobrze określonego obrazu interferencyjnego jest aby interferujące fale świetlne miały dokładnie określoną, zmienną w czasie różnicę faz","Różnica faz fal składowych decyduje o natężeniu światła w punkcie nałożenia się fal","W każdej chwili wychylenie punktu przestrzeni jest sumą wychyleń docierających do niego zaburzeń składowych","Różnica dróg optycznych przebytych przez fale składowe decyduje o natężeniu światła w punkcie nałożenia się fal"
"Podstawową zasadą optyki falowej, opisującą sposób rozchodzenia się fal świetlnych jest zasada","Huygensa","Heisenberga","Younga","Fermata"
"Które ze stwierdzeń nie jest zgodne z postulatami Bohra","Elektron poruszający się po orbicie stacjonarnej wypromieniowuje energię elektromagnetyczną","elektron w atomie wodoru porusza się po kołowej orbicie dookoła jądra pod wpływem siły coulombowskiej i zgodnie z prawami dynamiki Newtona","Elektron może się poruszać po takiej orbicie, dla której moment pędu jest równy wielokrotności stałej Planck’a","Przechodząc z wyższego do niższego stanu energetycznego, atom wypromieniowuje kwant energii równy różnicy energii poziomów energetycznych, pomiędzy ktorymi nastąpiło przejście"
"W rozpadzie β- liczba atomowa pierwiastka:","Wzrasta o 1","Maleje o 1","Maleje o 2","Nie ulega zmianie"
"Protony to","Hadrony","Mezony","Bozony","Leptony"
"Cechą izolatorów jest","Całkowite osadzenie pasma walencyjnego","Duża konduktywność","Obceność elektronów w paśmie przewodnictwa","Szerokość pasma zabronionego - 0.1eV"
"Wskaż zdanie prawdziwe","Przewodnictwo typu n polega na przemieszczeniu elektronów w paśmie przewodzenia w kierunku przeciwnym do wektora zewnętrznego pola elektrycznego.","Przewodnictwo typu n polega na przemieszczeniu elektronów w paśmie podstawowym w kierunku zgodnym z wektorem zewnętrznego pola elektrycznego.","Przewodnictwo typu p polega na przemieszczeniu elektronów w paśmie podstawowym w kierunku zgodnym z wektorem zewnętrznego pola elektrycznego.","Przewodnictwo typu p polega na przemieszczeniu elektronów w paśmie przewodzenia w kierunku zgodnym z wektorem zewnętrznego pola elektrycznego."
