Pytanie,Poprawna odpowiedź,Zła odpowiedź,Zła odpowiedź,Zła odpowiedź
"W jednorodnym polu elektrycznym, przy stałej wartości potencjału elektrycznego natężenie tego pola:",również pozostaje stałe,wzrasta wraz z odległością,maleje wraz z odległością,żadna z odpowiedzi nie jest poprawna
Pojemność kondensatora płaskiego,wzrasta po umieszczeniu dielektryka między okładkami kondensatora próżniowego,maleje wraz z powierzchnią okładek,Rośnie wraz z odległością między okładkami,maleje po umieszczeniu dielektryka między okładkami kondensatora próżniowego
Rezystywność,nie zależy ani od przekroju przewodnika ani od jego długości,Wzrasta wraz z długością przewodnika,Wzrasta wraz z powierzchnią przewodnika,maleje wraz z długością przewodnika
Strumień pola magnetycznego jest,żadna z odpowiedzi nie jest prawidłowa,wielkością wektorową wyrażoną w [Hr],wielkością wektorową wyrażoną w [Wb],wielkością skalarną wyrażoną w [Hr]
Siła elektromotoryczna to:,żadna z powyższych odpowiedzi nie jest prawidłowa,"siła oddziałujące między dwoma ładunkami elektrycznymi, bedącymi w ruchu",siła działająca na przewodnik z prądem w polu magnetycznym,siła działająca na ładunki punktowe umieszczone w polu magnetycznym
Które ze stwierdzeń nie jest słuszne dla paramagnetyków?,"Jeżeli pole jest niejednorodne, materiał paramagnetyczny jest wypychany z obszaru silniejszego pola magnetycznego",W nieobecności zewnętrznego pola magnetycznego paramagnetyk nie jest namagnesowany,W zewnętrznym polu magnetycznym paramagnetyk magnesuje się zgodnie z tym polem,W zewnętrznym polu magnetycznym paramagnetyki ustawiają się wzdłuż lini pola magnetycznego
Które z podanych niżej jest równaniem soczewki,1/f = 1/x + 1/y,Z = 1/f;,f = (nwzg − 1)( 1/R1 + 1/R2 ),p = H/h
Które z poniższych zdań dotyczących interferencji fal świetlnych nie jest prawdziwe,"warunkiem dobrze określonego obrazu interferencyjnego jest aby interferujące fale świetlne miały dokładnie określoną, zmienną w czasie różnicę faz",Różnica faz fal składowych decyduje o natężeniu światła w punkcie nałożenia się fal,W każdej chwili wychylenie punktu przestrzeni jest sumą wychyleń docierających do niego zaburzeń składowych,różnica dróg optycznych przebytych przez fale składowe decyduje o natężeniu światła w punkcie nałożenia się fal
"Podstawową zasadą optyki falowej, opisującą sposób rozchodzenia się fal świetlnych jest zasada",Huygensa,Heisenberga,Younga,Fermata
